URL	Question	Option A	Option B	Option C	Option D	Prompt	GT
https://attack.mitre.org/techniques/T1134/003/	Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?	Configuring System File Integrity	Hardening Kernel Module Loading	Partitioning Network Assets	Privileged Account Management	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?  **Options:** A) Configuring System File Integrity B) Hardening Kernel Module Loading C) Partitioning Network Assets D) Privileged Account Management  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1134/003/	Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?	PowerShell Empire	Cobalt Strike	Metasploit Framework	Rubeus	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?  **Options:** A) PowerShell Empire B) Cobalt Strike C) Metasploit Framework D) Rubeus  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1110/002/	According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?	Hydra	CrackMapExec	John the Ripper	Cain & Abel	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?  **Options:** A) Hydra B) CrackMapExec C) John the Ripper D) Cain & Abel  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1110/002/	Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?	Application Log	User Account Security Log	System Audit Log	User Account Authentication	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?  **Options:** A) Application Log B) User Account Security Log C) System Audit Log D) User Account Authentication  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1110/002/	What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?	Implementing a strict password expiration policy	Using password managers	Enabling multi-factor authentication	Configuring IP address filtering	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?  **Options:** A) Implementing a strict password expiration policy B) Using password managers C) Enabling multi-factor authentication D) Configuring IP address filtering  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1110/001/	How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?	By intercepting network traffic to obtain passwords	By guessing passwords using a repetitive or iterative mechanism	By exploiting zero-day vulnerabilities	By social engineering tactics to trick users into revealing passwords	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?  **Options:** A) By intercepting network traffic to obtain passwords B) By guessing passwords using a repetitive or iterative mechanism C) By exploiting zero-day vulnerabilities D) By social engineering tactics to trick users into revealing passwords  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1110/001/	APT29 (G0016) used T1110.001 to attack which type of targets?	Internal networking equipment	Operating system vulnerabilities	A list of mailboxes	Web server configuration files	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** APT29 (G0016) used T1110.001 to attack which type of targets?  **Options:** A) Internal networking equipment B) Operating system vulnerabilities C) A list of mailboxes D) Web server configuration files  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1110/001/	Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?	LDAP and Kerberos have default settings that disable logging	SMB creates specific "logon failure" event ID 4625	LDAP and Kerberos use encryption that prevents logging	SMB sessions expire more quickly than LDAP and Kerberos sessions	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?  **Options:** A) LDAP and Kerberos have default settings that disable logging B) SMB creates specific "logon failure" event ID 4625 C) LDAP and Kerberos use encryption that prevents logging D) SMB sessions expire more quickly than LDAP and Kerberos sessions  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1110/001/	Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?	Multi-factor Authentication	Update Software	Account Use Policies	Password Manager Setup	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?  **Options:** A) Multi-factor Authentication B) Update Software C) Account Use Policies D) Password Manager Setup  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1110/001/	Which service is commonly targeted by T1110.001 via TCP port 1433?	FTP	Server Message Block (SMB)	MySQL	MSSQL	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which service is commonly targeted by T1110.001 via TCP port 1433?  **Options:** A) FTP B) Server Message Block (SMB) C) MySQL D) MSSQL  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1110/001/	Which tool allows brute-forcing across an entire network as part of T1110.001?	Pony	EMOTET	CrackMapExec	HermeticWizard	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which tool allows brute-forcing across an entire network as part of T1110.001?  **Options:** A) Pony B) EMOTET C) CrackMapExec D) HermeticWizard  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1110/	In which scenario might an adversary combine brute forcing activity with External Remote Services?	Initial Access	Execution	Persistence	Collection	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In which scenario might an adversary combine brute forcing activity with External Remote Services?  **Options:** A) Initial Access B) Execution C) Persistence D) Collection  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A
https://attack.mitre.org/techniques/T1110/	Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?	APT28	Sandworm Team	Dragonfly	OilRig	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?  **Options:** A) APT28 B) Sandworm Team C) Dragonfly D) OilRig  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1110/	According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?	T1133	T1059	T1110	T1049	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?  **Options:** A) T1133 B) T1059 C) T1110 D) T1049  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1110/	Which procedure example includes the use of Ncrack to reveal credentials?	APT39	APT38	Fox Kitten	PoshC2	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which procedure example includes the use of Ncrack to reveal credentials?  **Options:** A) APT39 B) APT38 C) Fox Kitten D) PoshC2  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A
https://attack.mitre.org/techniques/T1110/	What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?	Multi-factor Authentication	Account Use Policies	User Account Management	Password Policies	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?  **Options:** A) Multi-factor Authentication B) Account Use Policies C) User Account Management D) Password Policies  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1185/	Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?	Form-grabbing	HTML injection	Session hijacking	SSL certificate theft	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?  **Options:** A) Form-grabbing B) HTML injection C) Session hijacking D) SSL certificate theft  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A
https://attack.mitre.org/techniques/T1185/	Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?	SeTcbPrivilege	SeShutdownPrivilege	SeDebugPrivilege	SeTakeOwnershipPrivilege	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?  **Options:** A) SeTcbPrivilege B) SeShutdownPrivilege C) SeDebugPrivilege D) SeTakeOwnershipPrivilege  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1185/	What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?	Using DNS poisoning	Injecting software into the browser	Changing browser settings	Launching a SYN flood attack	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?  **Options:** A) Using DNS poisoning B) Injecting software into the browser C) Changing browser settings D) Launching a SYN flood attack  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1185/	Which mitigation could help restrict exposure to browser pivoting techniques like T1185?	Network Segmentation	Malware Detection	User Account Management	Email Filtering	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation could help restrict exposure to browser pivoting techniques like T1185?  **Options:** A) Network Segmentation B) Malware Detection C) User Account Management D) Email Filtering  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1185/	How does Grandoreiro implement browser session hijacking techniques?	Form-grabbing	Displaying full-screen overlay images	DNS spoofing	Launching a SYN flood attack	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** How does Grandoreiro implement browser session hijacking techniques?  **Options:** A) Form-grabbing B) Displaying full-screen overlay images C) DNS spoofing D) Launching a SYN flood attack  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1217/	In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type "\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?	APT38	Chimera	Calisto	DarkWatchman	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type "\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?  **Options:** A) APT38 B) Chimera C) Calisto D) DarkWatchman  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1217/	Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?	T1217 - Browser Information Discovery	T1003 - Credential Dumping	T1027 - Obfuscated Files or Information	T1056 - Input Capture	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?  **Options:** A) T1217 - Browser Information Discovery B) T1003 - Credential Dumping C) T1027 - Obfuscated Files or Information D) T1056 - Input Capture  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A
https://attack.mitre.org/techniques/T1217/	Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?	Command, File	Command, Network Traffic	File, Process	Command, Process, File	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?  **Options:** A) Command, File B) Command, Network Traffic C) File, Process D) Command, Process, File  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1217/	What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?	Credentials In Files	Remote Desktop Data	Browsing History	Network Configurations	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?  **Options:** A) Credentials In Files B) Remote Desktop Data C) Browsing History D) Network Configurations  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1176/	In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?	By frequently updating the extension via legitimate app stores	By installing the extension via email phishing attacks	By creating browser cookies to log user activity	By modifying the browser's update URL to download updates from an adversary-controlled server	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?  **Options:** A) By frequently updating the extension via legitimate app stores B) By installing the extension via email phishing attacks C) By creating browser cookies to log user activity D) By modifying the browser's update URL to download updates from an adversary-controlled server  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
https://attack.mitre.org/techniques/T1176/	Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?	Trojan horse installation	Botnet reconfiguration	Long-term RAT installation	Website defacement	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?  **Options:** A) Trojan horse installation B) Botnet reconfiguration C) Long-term RAT installation D) Website defacement  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1176/	Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?	Setting up a firewall	Using a browser extension allow or deny list	Auditing the installed extensions	Updating antivirus definitions	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?  **Options:** A) Setting up a firewall B) Using a browser extension allow or deny list C) Auditing the installed extensions D) Updating antivirus definitions  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1176/	What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?	Use the latest versions of antivirus software	Ensure operating systems and browsers are using the most current version	Regularly back up all browser extension files	Always use a VPN while browsing	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?  **Options:** A) Use the latest versions of antivirus software B) Ensure operating systems and browsers are using the most current version C) Regularly back up all browser extension files D) Always use a VPN while browsing  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B
https://attack.mitre.org/techniques/T1176/	According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?	It allowed extensions to be installed directly from the command line	It required browser extensions to be signed by the developer	It restricted the use of `.mobileconfig` files and required user interaction	It allowed only approved extensions from the app store	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?  **Options:** A) It allowed extensions to be installed directly from the command line B) It required browser extensions to be signed by the developer C) It restricted the use of `.mobileconfig` files and required user interaction D) It allowed only approved extensions from the app store  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1037/005/	Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?	Least Privilege	Network Segmentation	Restrict File and Directory Permissions	Monitor System Calls	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?  **Options:** A) Least Privilege B) Network Segmentation C) Restrict File and Directory Permissions D) Monitor System Calls  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C
https://attack.mitre.org/techniques/T1037/005/	Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?	Command	Process	Network Traffic	File	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?  **Options:** A) Command B) Process C) Network Traffic D) File  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D
